姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
孙大卫,先生,72,,本科,金士顿科技,美国-欧文,USA-Irvine,半导体,169,-1,800.0,-8%
哈索·普拉特纳,先生,79,德国-柏林-柏林, ,SAP,德国-海德堡,Germany-Heidelberg,企业软件,169,-1,800.0,-8%
杰里·琼斯,先生,81,美国-英格伍德,本科,Dallas Cowboys,美国-达拉斯,USA-Dallas,体育运动,169,118,800.0,29%
杜纪川,先生,70,,本科,金士顿科技,美国-罗灵希尔斯,USA-Rolling Hills,半导体,169,-1,800.0,-8%
莱昂·布莱克,先生,72,美国曼哈顿,硕士,Apollo Global Management,美国-纽约,USA-New York,资产管理,169,44,800.0,9%
莱斯利·威尔逊,女士,未知,,,Reece,澳大利亚-墨尔本,Australia-Melbourne,家具,169,391,800.0,107%
马瑞克·马尔斯,女士,61,,本科,玛氏公司,美国-普莱恩斯,USA-The Plains,巧克力与甜食,169,69,800.0,20%
拉胡尔·巴贾杰,先生,85,,本科,Bajaj,印度-浦那,India-Pune,非银金融,169,-37,800.0,-20%
帕梅拉·玛斯·赖特,女士,未知,, ,玛氏公司,美国-普莱恩斯,USA-The Plains,巧克力与甜食,169,69,800.0,20%
里卡多·萨利纳斯·普利戈,先生,未知,,本科,Elekta,墨西哥-墨西哥城,Mexico-Mexico City,医疗设备,169,-1,800.0,-8%
史蒂夫·科恩,先生,67,美国-纽约州-大脖子,本科,Point72 Asset Management,美国-纽约,USA-New York,资产管理,169,-1,800.0,-8%
汤姆·洛夫,先生,未知,美国-奥克拉荷马,退学,Love's Travel Stops & Country Stores,美国-俄克拉荷马,USA-Oklahoma City,多品牌零售,169,-1,800.0,-8%
瓦莱丽·马尔斯,女士,未知,,本科,玛氏公司,美国-纽约,USA-New York,巧克力与甜食,169,69,800.0,20%
维多利亚·马尔斯,女士,未知,,本科,玛氏公司,美国-宾夕法尼亚,USA-Philadelphia,巧克力与甜食,169,69,800.0,20%
赵长鹏,先生,46,,本科,币安,阿联酋-迪拜,UAE-Dubai,区块链,169,-101,800.0,-48%
安德鲁·比尔,先生,71,美国-兰辛,本科,Beal Bank,美国-达拉斯,USA-Dallas,银行业,187,7,750.0,-8%
党彦宝,先生,50,,本科,宝丰,中国-银川,China-Yinchuan,能源,187,-38,750.0,-21%
大卫·格芬,先生,80,美国-布鲁克林-布鲁克林,退学,Geffen Records,美国-马利布,USA-Malibu,娱乐,187,80,750.0,12%
道格·迈耶,先生,未知,美国肯特,本科,Meijer Supermarket,美国-大急流城,USA-Grand Rapids,多品牌零售,187,51,750.0,10%
古斯塔夫·道格拉斯,先生,85,,硕士,Investment AB Latour,瑞典-斯德哥尔摩,Sweden-Stockholm,投资,187,-38,750.0,-21%
汉克·迈耶,先生,未知,美国肯特,本科,Meijer Supermarket,美国-大急流城,USA-Grand Rapids,多品牌零售,187,51,750.0,10%
亨利·克拉维斯,先生,79,,硕士,KKR,美国-纽约,USA-New York,资产管理,187,-19,750.0,-15%
靳保芳,先生,71,中国-河北-邢台, ,晶澳科技,中国-邢台,China-Xingtai,绿色能源,187,26,750.0,0%
约翰·鲁珀特,先生,73,南非-斯泰伦博斯,本科,Richemont,南非-开普敦,South Africa-Cape Town,奢侈品,187,51,750.0,10%
约翰·马龙,先生,82,,本科,Liberty Media,美国-伊丽莎白,USA-Elizabeth,媒体,187,82,750.0,13%
邝肖卿,女士,未知,中国-广东-广州, ,新鸿基,中国-香港,China-Hong Kong,房地产,187,82,750.0,13%
李彦宏,先生,55,中国-山西-阳泉,硕士,百度,中国-北京,China-Beijing,媒体,187,-19,750.0,-15%
刘金成,先生,59,中国-湖北-武汉,硕士,亿纬锂能,中国-惠州,China-Huizhou,锂电池,187,-19,750.0,-15%
罗立国,先生,67,中国-浙江-宁波, ,合盛,中国-宁波,China-Ningbo,硅材料,187,-68,750.0,-31%
马塞尔·赫尔曼· 泰列斯,先生,73,,本科,3G Capital,巴西-圣保罗,Brazil-Sao Paulo,投资,187,26,750.0,0%
玛丽安·伊里奇,先生,90,, ,Ilitch,美国-宾厄姆法姆斯,USA-Bingham Farms,餐饮,187,100,750.0,18%
马希米丽亚娜·兰迪尼·阿利欧帝,女士,未知,, ,美纳里尼,意大利-米兰,Italy-Milan,制药,187,-55,750.0,-27%
Melinda French Gates,女士,59,,,Investments,美国-Medina,USA-Medina,投资,187,26,750.0,0%
迈克·坎农·布鲁克斯,先生,未知,,本科,Atlassian,澳大利亚-悉尼,Australia-Sydney,软件与服务,187,-139,750.0,-59%
Palankoyev Akhmet Magomedovich,先生,59,,,极地黄金,俄罗斯-莫斯科,Russia-Moscow,金属矿业,187,New,750.0,New
史蒂文·罗尔斯,先生,未知,,本科,Danaher,美国-圣芭芭拉,USA-Santa Barbara,医疗设备,187,7,750.0,-8%
吴亚军,女士,59,中国-重庆,本科,龙湖,中国-北京,China-Beijing,房地产,187,-74,750.0,-35%
张聪渊,先生,75,中国-台湾-桃园,,华利实业,中国-中山,China-Zhongshan,鞋业,187,-38,750.0,-21%
张勇,先生,52,中国-四川-成都, ,海底捞,新加坡-新加坡,Singapore-Singapore,餐饮,187,51,750.0,10%
森章,先生,87,,本科,Mori Trust,日本-东京,Japan-Tokyo,房地产,211,944,670.0,223%
安德烈·斯科赫,先生,57,俄罗斯-莫斯科州, ,Metalloinvest,俄罗斯-莫斯科,Russia-Moscow,金属与矿产,211,294,670.0,61%
安东尼·普拉特,先生,63,,本科,Visy Industries,澳大利亚-墨尔本,Australia-Melbourne,浆纸,211,140,670.0,22%
巴贝塔·阿尔布雷希特,女士,未知,, ,Aldi Nord,德国-埃森,Germany-Essen,多品牌零售,211,2,670.0,-9%
苏旭明,先生,79,中国-广东-广东, ,泰国酿酒,泰国-曼谷,Thailand-Bangkok,酒类饮品,211,-107,670.0,-44%
戴维·鲁本,先生,未知,印度-孟买-孟买, ,Global Switch,英国-伦敦,UK-London,房地产,211,64,670.0,4%
乔治·罗伯茨,先生,未知,美国-休斯顿,本科,KKR,美国-阿瑟顿,USA-Atherton,资产管理,211,-43,670.0,-23%
龚虹嘉,先生,58,,本科,海康威视,中国-香港,China-Hong Kong,视频监控产品,211,-43,670.0,-23%
吉姆·帕蒂森,先生,95,加拿大-萨斯卡通,退学,Jim Pattison,加拿大-温哥华,Canada-Vancouver,汽车销售,211,27,670.0,0%
梅克尔·肖林,先生,76,,硕士,Melker Schorling,瑞典-斯德哥尔摩,Sweden-Stockholm,投资,211,-43,670.0,-23%
陈颂雄,先生,61,,本科,NantWorks,美国-洛杉矶,USA-Los Angeles,制药,211,27,670.0,0%
裴振华,先生,未知,,,天华超净,中国-苏州,China-Suzhou,超净产品,211,-62,670.0,-29%
