姓名,性别,年龄,财富值_人民币/亿元,排名变化,企业信息,所在行业
田明,先生,70,155,50,美亚光电,专用设备制造业
叶立培家族,先生,79,155,17,仲盛,房地产
邓鸿,先生,60,150,-21,成都环球世纪,房地产
洪浩,先生,67,150,-21,凯莱英,医药
黄巧灵家族,先生,65,150,22,宋城,旅游、房地产
李建全家族,先生,66,150,-21,稳健医疗,医疗用品
林明成家族,先生,80,150,22,华南金控,金融服务
刘志强、翟美卿夫妇,先生,59,150,54,香江,房地产、金融
王瀚,先生,36,150,-6,均瑶,房地产、航空、零售
王伟修、王晓东父子,先生,73,150,New ~,中际旭创,通信设备
魏应州,先生,69,150,22,顶新,食品和饮料
徐宇,先生,51,150,22,赫基国际,服装
周永利家族,先生,67,150,80,永利,轻纺、房地产、投资
陈明永,先生,54,145,-109,OPPO,消费电子产品
贺正刚,先生,69,145,-32,和邦股份,矿产、化工
李伟,先生,55,145,43,千味央厨,食品、房地产
刘晓东,先生,56,145,233,百润,香料、酒业
邱敏秀家族,先生,78,145,-79,晶盛机电,机电设备
苏素玉家族,先生,75,145,11,联美,房地产、投资
王宵锟、刘洧宏夫妇,先生,40,145,New ~,茶百道,餐饮连锁
吴映明,先生,56,145,43,宁德时代,锂电池
谢秉昆家族,先生,57,145,-32,坤彩科技,珠光材料
徐旭东、徐若桐父女,先生,53,145,126,旭升汽车技术,汽车零部件
许树根,先生,58,145,176,鼎力,机械制造
张荣华家族,女士,54,145,-17,荣程,钢铁
周宗文家族,先生,66,145,315,周大生,珠宝
曾万辉、喻丽丽夫妇,先生,55,140,158,景嘉微,电子器件制造
胡兴荣,先生,42,140,51,多弗,贸易、房地产
黄联禧、左笑萍夫妇,先生,60,140,-155,联塑,建材家居
黄山,先生,53,140,644,财富趋势,金融软件
雷菊芳、程若琼母子,女士,70,140,67,奇正藏药,医药
李非列家族,先生,57,140,25,飞尚,有色金属、钢铁、物流
利约翰,先生,69,140,25,中电,能源
蒲忠杰、张月娥夫妇,先生,60,140,-78,乐普,医疗设备
沈华、胡畏夫妇,先生,60,140,-220,斯达半导,半导体
王剑峰家族,先生,53,140,132,均胜投资,汽车零部件制造
魏应充,先生,66,140,25,顶新,食品和饮料
魏应交,先生,68,140,25,顶新,食品和饮料
魏应行,先生,64,140,25,顶新,食品和饮料
肖永明家族,先生,59,140,New ~,藏格矿业,矿产
许刚,先生,60,140,88,龙佰,钛白粉
许景南家族,先生,68,140,51,匹克,体育用品
杨雪岗家族,先生,58,140,108,旭阳,煤炭、化工
