排名1,财富值_人民币/亿元,排名变化,个人信息3,性别,年龄,公司名称,所在行业
313,175,23,蒋业华,先生,60,华宇,房地产
313,175,58,王建沂,先生,60,富通,光纤光缆
313,175,144,王旭宁,先生,54,JS环球生活,小家电
313,175,23,吴凯,先生,55,宁德时代,锂电池
313,175,86,杨致远,先生,55,雅虎,投资
325,170,74,郭金树,先生,72,汇能,煤炭、路桥、房地产
325,170,338,姜银台家族,先生,73,岱美股份,汽车内饰
325,170,-38,李斌,先生,49,蔚来、易车,电动车
325,170,11,李洪信,先生,70,太阳纸业,造纸
325,170,11,陆地,先生,未知,大疆,无人机
325,170,-74,穆荣均,先生,43,美团,生活服务
325,170,11,戚振波,先生,未知,美腕,新零售
325,170,31,齐向东,先生,58,奇安信,网络安全
325,170,11,邢李?,先生,74,思捷环球,投资
325,170,-29,虞锋家族,先生,60,云锋基金,投资
325,170,-6,赵立新家族,先生,57,格科微,CMOS图像传感器
325,170,11,赵藤雄家族,先生,79,远雄,房地产
342,165,78,蔡东青家族,先生,54,奥飞娱乐,动漫
342,165,-118,陈志平,先生,47,思摩尔,电子烟
342,165,-14,葛卫东,先生,54,混沌投资,投资
342,165,-91,胡柏藩,先生,61,新和成,医药
342,165,-33,彭蕾,先生,52,阿里系,电子商务、金融科技
342,165,-6,邵钦祥家族,先生,69,花园,工业制造、房地产
342,165,-14,王均金,先生,55,均瑶,房地产、航空、零售
342,165,-237,王一鸣家族,先生,42,锦浪科技,光伏逆变器
342,165,321,翁先定,先生,62,新产业,医疗器械
342,165,14,徐乘家族,先生,71,徐福记,食品
342,165,89,张万镇,先生,74,三环,通信部件、电子元器件
342,165,401,竺兆江,先生,50,传音,消费电子产品
358,160,-2,陈谭庆芬家族,先生,未知,恒隆,房地产
358,160,New ~,崔立新,先生,未知,创新集团,有色金属
358,160,-2,侯军呈,先生,59,珀莱雅,化妆品
358,160,-22,梁绍鸿,先生,71,大鸿辉,房地产
358,160,-2,沈锡强家族,先生,75,雅克科技,化工新材料
358,160,206,王宁家族,先生,36,泡泡玛特,玩具
358,160,13,伍步高家族,先生,79,永隆,银行业
358,160,305,严陈莉莲家族,女士,58,裕隆,汽车
358,160,62,张帆,先生,58,汇顶科技,半导体芯片
358,160,-220,张雷,先生,47,远景能源,风电
370,155,87,何猷龙家族,先生,47,新濠国际,博彩
370,155,1,李仙德,先生,48,晶科能源,太阳能
370,155,1,罗家宝,先生,74,百乐,房地产
370,155,144,马秀慧家族,先生,52,欧普照明,节能灯
370,155,87,邱光和家族,先生,72,森马,服装
370,155,50,田明,先生,70,美亚光电,专用设备制造业
370,155,17,叶立培家族,先生,79,仲盛,房地产
377,150,-21,邓鸿,先生,60,成都环球世纪,房地产
377,150,-21,洪浩,先生,67,凯莱英,医药
377,150,22,黄巧灵家族,先生,65,宋城,旅游、房地产
377,150,-21,李建全家族,先生,66,稳健医疗,医疗用品
377,150,22,林明成家族,先生,80,华南金控,金融服务
377,150,-6,王瀚,先生,36,均瑶,房地产、航空、零售
377,150,22,魏应州,先生,69,顶新,食品和饮料
377,150,22,徐宇,先生,51,赫基国际,服装
377,150,80,周永利家族,先生,67,永利,轻纺、房地产、投资
388,145,-109,陈明永,先生,54,OPPO,消费电子产品
388,145,43,陈琼香,先生,未知,宁德时代,锂电池
388,145,-32,贺正刚,先生,69,和邦股份,矿产、化工
388,145,43,李伟,先生,55,千味央厨,食品、房地产
388,145,233,刘晓东,先生,56,百润,香料、酒业
388,145,-143,潘来灿,先生,未知,海天味业,调味品
388,145,-79,邱敏秀家族,先生,78,晶盛机电,机电设备
388,145,-92,沈炜,先生,未知,VIVO,消费电子产品
388,145,11,苏素玉家族,先生,75,联美,房地产、投资
388,145,106,王世忠家族,先生,未知,亚德客,工业机械
388,145,43,吴映明,先生,56,宁德时代,锂电池
388,145,-32,谢秉昆家族,先生,57,坤彩科技,珠光材料
388,145,32,谢嘉,先生,未知,大疆,无人机
388,145,176,许树根,先生,58,鼎力,机械制造
388,145,-17,张荣华家族,女士,54,荣程,钢铁
388,145,315,周宗文家族,先生,66,周大生,珠宝
406,140,815,丁会,先生,未知,嘉立创,半导体
406,140,815,丁会响,先生,未知,嘉立创,半导体
406,140,51,丁雅丽,先生,未知,安踏,体育用品
406,140,51,胡兴荣,先生,42,多弗,贸易、房地产
406,140,644,黄山,先生,53,财富趋势,金融软件
406,140,25,李非列家族,先生,57,飞尚,有色金属、钢铁、物流
406,140,25,利约翰,先生,69,中电,能源
406,140,132,王剑峰家族,先生,53,均胜投资,汽车零部件制造
406,140,25,魏应充,先生,66,顶新,食品和饮料
406,140,25,魏应交,先生,68,顶新,食品和饮料
406,140,25,魏应行,先生,64,顶新,食品和饮料
406,140,New ~,肖永明家族,先生,59,藏格矿业,矿产
406,140,88,许刚,先生,60,龙佰,钛白粉
406,140,51,许景南家族,先生,68,匹克,体育用品
406,140,108,杨雪岗家族,先生,58,旭阳,煤炭、化工
406,140,67,俞发祥,先生,52,祥源控股,基础设施建设、房地产
427,135,194,蔡华波,先生,47,江波龙,半导体
427,135,-7,丁立国家族,先生,53,德龙,钢铁、天然气
427,135,4,方文雄家族,先生,未知,协成行,房地产
427,135,4,傅光明家族,先生,69,圣农,农业
427,135,-28,龚俊龙家族,先生,64,恒裕,房地产、投资
427,135,-91,黄达文,先生,63,合盛,硅材料
427,135,4,黄绍武,先生,53,神州通,投资
427,135,-28,黄世再家族,先生,72,大中华地产,房地产
